Match Key,Match Name,Match Type,Match Number,Alliance,Team1,Team2,Team3,Score,Adjustpoints,Autotowerpoints,Autotowerrobot1,Autotowerrobot2,Autotowerrobot3,Endgametowerpoints,Endgametowerrobot1,Endgametowerrobot2,Endgametowerrobot3,Energizedachieved,Foulpoints,G206penalty,Hubscore,Majorfoulcount,Minorfoulcount,Penalties,Rp,Superchargedachieved,Totalautopoints,Totalpoints,Totalteleoppoints,Totaltowerpoints,Traversalachieved
2026arli_qm12,Qm12,Qm,12,Blue,frc5472,frc6186,frc2341,76,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 34, 'autoPoints': 34, 'endgameCount': 13, 'endgamePoints': 13, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 16, 'shift2Points': 16, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 2, 'shift4Points': 2, 'teleopCount': 42, 'teleopPoints': 42, 'totalCount': 76, 'totalPoints': 76, 'transitionCount': 11, 'transitionPoints': 11, 'uncounted': 0}",0.0,0.0,None,0.0,False,34.0,76.0,42.0,0.0,False
2026arli_qm12,Qm12,Qm,12,Red,frc3468,frc8753,frc6424,126,0.0,0.0,None,None,None,10.0,None,Level1,None,True,0.0,False,"{'autoCount': 26, 'autoPoints': 26, 'endgameCount': 26, 'endgamePoints': 26, 'shift1Count': 34, 'shift1Points': 34, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 29, 'shift3Points': 29, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 90, 'teleopPoints': 90, 'totalCount': 116, 'totalPoints': 116, 'transitionCount': 1, 'transitionPoints': 1, 'uncounted': 1}",0.0,0.0,None,4.0,False,26.0,126.0,100.0,10.0,False
2026arli_qm13,Qm13,Qm,13,Blue,frc9073,frc2036,frc7255,19,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 17, 'autoPoints': 17, 'endgameCount': 0, 'endgamePoints': 0, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 2, 'teleopPoints': 2, 'totalCount': 19, 'totalPoints': 19, 'transitionCount': 2, 'transitionPoints': 2, 'uncounted': 0}",0.0,0.0,None,0.0,False,17.0,19.0,2.0,0.0,False
2026arli_qm13,Qm13,Qm,13,Red,frc11102,frc7483,frc5454,35,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 12, 'autoPoints': 12, 'endgameCount': 2, 'endgamePoints': 2, 'shift1Count': 12, 'shift1Points': 12, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 8, 'shift3Points': 8, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 23, 'teleopPoints': 23, 'totalCount': 35, 'totalPoints': 35, 'transitionCount': 1, 'transitionPoints': 1, 'uncounted': 1}",0.0,0.0,None,3.0,False,12.0,35.0,23.0,0.0,False
2026arli_qm14,Qm14,Qm,14,Blue,frc4766,frc3937,frc4764,273,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 32, 'autoPoints': 32, 'endgameCount': 54, 'endgamePoints': 54, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 76, 'shift2Points': 76, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 85, 'shift4Points': 85, 'teleopCount': 241, 'teleopPoints': 241, 'totalCount': 273, 'totalPoints': 273, 'transitionCount': 26, 'transitionPoints': 26, 'uncounted': 6}",0.0,0.0,None,4.0,False,32.0,273.0,241.0,0.0,False
2026arli_qm14,Qm14,Qm,14,Red,frc6647,frc3184,frc9067,185,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 18, 'autoPoints': 18, 'endgameCount': 69, 'endgamePoints': 69, 'shift1Count': 17, 'shift1Points': 17, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 81, 'shift3Points': 81, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 167, 'teleopPoints': 167, 'totalCount': 185, 'totalPoints': 185, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 0}",0.0,0.0,None,1.0,False,18.0,185.0,167.0,0.0,False
2026arli_qm15,Qm15,Qm,15,Blue,frc4499,frc6186,frc127,159,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 20, 'autoPoints': 20, 'endgameCount': 56, 'endgamePoints': 56, 'shift1Count': 9, 'shift1Points': 9, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 74, 'shift3Points': 74, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 139, 'teleopPoints': 139, 'totalCount': 159, 'totalPoints': 159, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 7}",0.0,0.0,None,4.0,False,20.0,159.0,139.0,0.0,False
2026arli_qm15,Qm15,Qm,15,Red,frc16,frc4603,frc5472,140,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 27, 'autoPoints': 27, 'endgameCount': 35, 'endgamePoints': 35, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 32, 'shift2Points': 32, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 37, 'shift4Points': 37, 'teleopCount': 113, 'teleopPoints': 113, 'totalCount': 140, 'totalPoints': 140, 'transitionCount': 9, 'transitionPoints': 9, 'uncounted': 0}",0.0,0.0,None,1.0,False,27.0,140.0,113.0,0.0,False
2026arli_qm16,Qm16,Qm,16,Blue,frc11102,frc2341,frc6424,55,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 13, 'autoPoints': 13, 'endgameCount': 14, 'endgamePoints': 14, 'shift1Count': 11, 'shift1Points': 11, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 17, 'shift3Points': 17, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 42, 'teleopPoints': 42, 'totalCount': 55, 'totalPoints': 55, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 0}",0.0,0.0,None,3.0,False,13.0,55.0,42.0,0.0,False
2026arli_qm16,Qm16,Qm,16,Red,frc1209,frc9073,frc5437,39,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 15, 'autoPoints': 15, 'endgameCount': 3, 'endgamePoints': 3, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 6, 'shift2Points': 6, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 13, 'shift4Points': 13, 'teleopCount': 24, 'teleopPoints': 24, 'totalCount': 39, 'totalPoints': 39, 'transitionCount': 2, 'transitionPoints': 2, 'uncounted': 0}",0.0,0.0,None,0.0,False,15.0,39.0,24.0,0.0,False
2026arli_qm17,Qm17,Qm,17,Blue,frc4522,frc3468,frc4766,374,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 70, 'autoPoints': 70, 'endgameCount': 111, 'endgamePoints': 111, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 81, 'shift2Points': 81, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 94, 'shift4Points': 94, 'teleopCount': 304, 'teleopPoints': 304, 'totalCount': 374, 'totalPoints': 374, 'transitionCount': 18, 'transitionPoints': 18, 'uncounted': 3}",0.0,0.0,None,5.0,True,70.0,374.0,304.0,0.0,False
2026arli_qm17,Qm17,Qm,17,Red,frc2036,frc8753,frc3184,138,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 15, 'autoPoints': 15, 'endgameCount': 35, 'endgamePoints': 35, 'shift1Count': 36, 'shift1Points': 36, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 45, 'shift3Points': 45, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 123, 'teleopPoints': 123, 'totalCount': 138, 'totalPoints': 138, 'transitionCount': 7, 'transitionPoints': 7, 'uncounted': 1}",0.0,0.0,None,1.0,False,15.0,138.0,123.0,0.0,False
2026arli_qm18,Qm18,Qm,18,Blue,frc9067,frc7255,frc3937,176,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 38, 'autoPoints': 38, 'endgameCount': 45, 'endgamePoints': 45, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 47, 'shift2Points': 47, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 37, 'shift4Points': 37, 'teleopCount': 138, 'teleopPoints': 138, 'totalCount': 176, 'totalPoints': 176, 'transitionCount': 9, 'transitionPoints': 9, 'uncounted': 8}",0.0,0.0,None,4.0,False,38.0,176.0,138.0,0.0,False
2026arli_qm18,Qm18,Qm,18,Red,frc6186,frc16,frc4764,103,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 14, 'autoPoints': 14, 'endgameCount': 35, 'endgamePoints': 35, 'shift1Count': 35, 'shift1Points': 35, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 13, 'shift3Points': 13, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 89, 'teleopPoints': 89, 'totalCount': 103, 'totalPoints': 103, 'transitionCount': 6, 'transitionPoints': 6, 'uncounted': 0}",0.0,0.0,None,1.0,False,14.0,103.0,89.0,0.0,False
2026arli_qm19,Qm19,Qm,19,Blue,frc7483,frc127,frc6647,73,0.0,0.0,None,None,None,0.0,None,None,None,False,5.0,False,"{'autoCount': 13, 'autoPoints': 13, 'endgameCount': 2, 'endgamePoints': 2, 'shift1Count': 25, 'shift1Points': 25, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 23, 'shift3Points': 23, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 55, 'teleopPoints': 55, 'totalCount': 68, 'totalPoints': 68, 'transitionCount': 5, 'transitionPoints': 5, 'uncounted': 15}",0.0,0.0,None,0.0,False,13.0,73.0,55.0,0.0,False
2026arli_qm19,Qm19,Qm,19,Red,frc9073,frc11102,frc4499,175,0.0,0.0,None,None,None,20.0,None,None,Level2,True,0.0,False,"{'autoCount': 47, 'autoPoints': 47, 'endgameCount': 0, 'endgamePoints': 0, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 57, 'shift2Points': 57, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 7, 'shift4Points': 7, 'teleopCount': 108, 'teleopPoints': 108, 'totalCount': 155, 'totalPoints': 155, 'transitionCount': 44, 'transitionPoints': 44, 'uncounted': 0}",0.0,1.0,None,4.0,False,47.0,175.0,128.0,20.0,False
2026arli_qm2,Qm2,Qm,2,Blue,frc4499,frc4603,frc2341,281,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 45, 'autoPoints': 45, 'endgameCount': 58, 'endgamePoints': 58, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 57, 'shift2Points': 57, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 63, 'shift4Points': 63, 'teleopCount': 236, 'teleopPoints': 236, 'totalCount': 281, 'totalPoints': 281, 'transitionCount': 58, 'transitionPoints': 58, 'uncounted': 1}",0.0,0.0,None,4.0,False,45.0,281.0,236.0,0.0,False
2026arli_qm2,Qm2,Qm,2,Red,frc6647,frc16,frc3937,269,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 14, 'autoPoints': 14, 'endgameCount': 73, 'endgamePoints': 73, 'shift1Count': 58, 'shift1Points': 58, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 101, 'shift3Points': 101, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 255, 'teleopPoints': 255, 'totalCount': 269, 'totalPoints': 269, 'transitionCount': 23, 'transitionPoints': 23, 'uncounted': 5}",0.0,0.0,None,1.0,False,14.0,269.0,255.0,0.0,False
2026arli_qm20,Qm20,Qm,20,Blue,frc5437,frc2036,frc3468,89,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 18, 'autoPoints': 18, 'endgameCount': 29, 'endgamePoints': 29, 'shift1Count': 18, 'shift1Points': 18, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 24, 'shift3Points': 24, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 71, 'teleopPoints': 71, 'totalCount': 89, 'totalPoints': 89, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 2}",0.0,0.0,None,0.0,False,18.0,89.0,71.0,0.0,False
2026arli_qm20,Qm20,Qm,20,Red,frc5454,frc5472,frc6424,119,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 49, 'autoPoints': 49, 'endgameCount': 12, 'endgamePoints': 12, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 20, 'shift2Points': 20, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 37, 'shift4Points': 37, 'teleopCount': 70, 'teleopPoints': 70, 'totalCount': 119, 'totalPoints': 119, 'transitionCount': 1, 'transitionPoints': 1, 'uncounted': 2}",0.0,0.0,None,4.0,False,49.0,119.0,70.0,0.0,False
2026arli_qm21,Qm21,Qm,21,Blue,frc2341,frc4522,frc9067,362,0.0,0.0,None,None,None,0.0,None,None,None,True,5.0,False,"{'autoCount': 50, 'autoPoints': 50, 'endgameCount': 90, 'endgamePoints': 90, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 108, 'shift2Points': 108, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 82, 'shift4Points': 82, 'teleopCount': 307, 'teleopPoints': 307, 'totalCount': 357, 'totalPoints': 357, 'transitionCount': 27, 'transitionPoints': 27, 'uncounted': 6}",0.0,0.0,None,4.0,False,50.0,362.0,307.0,0.0,False
2026arli_qm21,Qm21,Qm,21,Red,frc1209,frc4603,frc8753,35,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 15, 'autoPoints': 15, 'endgameCount': 7, 'endgamePoints': 7, 'shift1Count': 4, 'shift1Points': 4, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 9, 'shift3Points': 9, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 20, 'teleopPoints': 20, 'totalCount': 35, 'totalPoints': 35, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 0}",0.0,1.0,None,0.0,False,15.0,35.0,20.0,0.0,False
2026arli_qm22,Qm22,Qm,22,Blue,frc9073,frc4764,frc4499,293,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 41, 'autoPoints': 41, 'endgameCount': 56, 'endgamePoints': 56, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 78, 'shift2Points': 78, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 63, 'shift4Points': 63, 'teleopCount': 252, 'teleopPoints': 252, 'totalCount': 293, 'totalPoints': 293, 'transitionCount': 55, 'transitionPoints': 55, 'uncounted': 2}",0.0,1.0,None,4.0,False,41.0,293.0,252.0,0.0,False
2026arli_qm22,Qm22,Qm,22,Red,frc7255,frc127,frc4766,132,0.0,0.0,None,None,None,0.0,None,None,None,True,5.0,False,"{'autoCount': 18, 'autoPoints': 18, 'endgameCount': 33, 'endgamePoints': 33, 'shift1Count': 37, 'shift1Points': 37, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 39, 'shift3Points': 39, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 109, 'teleopPoints': 109, 'totalCount': 127, 'totalPoints': 127, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 0}",0.0,0.0,None,1.0,False,18.0,132.0,109.0,0.0,False
2026arli_qm23,Qm23,Qm,23,Blue,frc2036,frc16,frc5472,245,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 37, 'autoPoints': 37, 'endgameCount': 68, 'endgamePoints': 68, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 67, 'shift2Points': 67, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 73, 'shift4Points': 73, 'teleopCount': 208, 'teleopPoints': 208, 'totalCount': 245, 'totalPoints': 245, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 0}",0.0,0.0,None,4.0,False,37.0,245.0,208.0,0.0,False
2026arli_qm23,Qm23,Qm,23,Red,frc3184,frc6424,frc5437,50,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 10, 'autoPoints': 10, 'endgameCount': 24, 'endgamePoints': 24, 'shift1Count': 12, 'shift1Points': 12, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 4, 'shift3Points': 4, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 40, 'teleopPoints': 40, 'totalCount': 50, 'totalPoints': 50, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 1}",0.0,0.0,None,0.0,False,10.0,50.0,40.0,0.0,False
2026arli_qm24,Qm24,Qm,24,Blue,frc2341,frc6647,frc1209,92,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 16, 'autoPoints': 16, 'endgameCount': 16, 'endgamePoints': 16, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 14, 'shift2Points': 14, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 19, 'shift4Points': 19, 'teleopCount': 76, 'teleopPoints': 76, 'totalCount': 92, 'totalPoints': 92, 'transitionCount': 27, 'transitionPoints': 27, 'uncounted': 0}",0.0,0.0,None,3.0,False,16.0,92.0,76.0,0.0,False
2026arli_qm24,Qm24,Qm,24,Red,frc11102,frc6186,frc4603,20,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 11, 'autoPoints': 11, 'endgameCount': 7, 'endgamePoints': 7, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 9, 'teleopPoints': 9, 'totalCount': 20, 'totalPoints': 20, 'transitionCount': 2, 'transitionPoints': 2, 'uncounted': 0}",0.0,0.0,None,0.0,False,11.0,20.0,9.0,0.0,False
2026arli_qm25,Qm25,Qm,25,Blue,frc3468,frc3937,frc5454,208,0.0,0.0,None,None,None,0.0,None,None,None,True,5.0,False,"{'autoCount': 51, 'autoPoints': 51, 'endgameCount': 52, 'endgamePoints': 52, 'shift1Count': 64, 'shift1Points': 64, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 36, 'shift3Points': 36, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 152, 'teleopPoints': 152, 'totalCount': 203, 'totalPoints': 203, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 0}",1.0,0.0,None,1.0,False,51.0,208.0,152.0,0.0,False
2026arli_qm25,Qm25,Qm,25,Red,frc4522,frc8753,frc7483,249,0.0,0.0,None,None,None,30.0,None,Level3,None,True,15.0,False,"{'autoCount': 66, 'autoPoints': 66, 'endgameCount': 40, 'endgamePoints': 40, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 61, 'shift2Points': 61, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 17, 'shift4Points': 17, 'teleopCount': 138, 'teleopPoints': 138, 'totalCount': 204, 'totalPoints': 204, 'transitionCount': 20, 'transitionPoints': 20, 'uncounted': 0}",0.0,1.0,None,4.0,False,66.0,249.0,168.0,30.0,False
2026arli_qm26,Qm26,Qm,26,Blue,frc4766,frc3184,frc9073,112,0.0,0.0,None,None,None,0.0,None,None,None,True,5.0,False,"{'autoCount': 18, 'autoPoints': 18, 'endgameCount': 36, 'endgamePoints': 36, 'shift1Count': 11, 'shift1Points': 11, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 39, 'shift3Points': 39, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 89, 'teleopPoints': 89, 'totalCount': 107, 'totalPoints': 107, 'transitionCount': 3, 'transitionPoints': 3, 'uncounted': 1}",0.0,1.0,None,1.0,False,18.0,112.0,89.0,0.0,False
2026arli_qm26,Qm26,Qm,26,Red,frc4499,frc6424,frc5437,250,0.0,0.0,None,None,None,0.0,None,None,None,True,5.0,False,"{'autoCount': 40, 'autoPoints': 40, 'endgameCount': 60, 'endgamePoints': 60, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 65, 'shift2Points': 65, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 54, 'shift4Points': 54, 'teleopCount': 205, 'teleopPoints': 205, 'totalCount': 245, 'totalPoints': 245, 'transitionCount': 26, 'transitionPoints': 26, 'uncounted': 0}",0.0,1.0,None,4.0,False,40.0,250.0,205.0,0.0,False
